설치시도명,설치시군구명,설치시설구분,서비스제공사명,설치년월,관리기관명,위도,경도,데이터기준일자
제주특별자치도,서귀포시,편의시설,KT,,정보정책과,33.25152344,126.5593512,2020-10-28
제주특별자치도,서귀포시,편의시설,KT,,정보정책과,33.25152344,126.5593512,2020-10-28
제주특별자치도,서귀포시,교통시설,KT,,정보정책과,33.25139506,126.5595158,2020-10-28
제주특별자치도,서귀포시,교통시설,KT,,정보정책과,33.25139506,126.5595158,2020-10-28
제주특별자치도,서귀포시,관광,KT,,정보정책과,33.24987165,126.5598839,2020-10-28
제주특별자치도,서귀포시,관광,KT,,정보정책과,33.24987165,126.5598839,2020-10-28
제주특별자치도,서귀포시,관광,KT,,정보정책과,33.24987165,126.5598839,2020-10-28
제주특별자치도,서귀포시,관광,KT,,정보정책과,33.24941085,126.5606314,2020-10-28
제주특별자치도,서귀포시,관광,KT,,정보정책과,33.24941085,126.5606314,2020-10-28
제주특별자치도,서귀포시,편의시설,KT,,정보정책과,33.247753,126.5602822,2020-10-28
제주특별자치도,서귀포시,편의시설,KT,,정보정책과,33.247753,126.5602822,2020-10-28
제주특별자치도,서귀포시,교통시설,KT,,정보정책과,33.247753,126.5602822,2020-10-28
제주특별자치도,서귀포시,관광,KT,,정보정책과,33.24740549,126.5586574,2020-10-28
제주특별자치도,서귀포시,관광,KT,,정보정책과,33.24886117,126.5591386,2020-10-28
제주특별자치도,서귀포시,관광,KT,,정보정책과,33.24886117,126.5591386,2020-10-28
제주특별자치도,서귀포시,교통시설,KT,,정보정책과,33.2481299,126.5643042,2020-10-28
제주특별자치도,서귀포시,교통시설,KT,,정보정책과,33.2481299,126.5643042,2020-10-28
제주특별자치도,서귀포시,교통시설,KT,,정보정책과,33.24843804,126.5658499,2020-10-28
제주특별자치도,서귀포시,교통시설,KT,,정보정책과,33.24843804,126.5658499,2020-10-28
제주특별자치도,서귀포시,편의시설,KT,,정보정책과,33.2478199,126.5653659,2020-10-28
제주특별자치도,서귀포시,관광,KT,,정보정책과,33.24590254,126.5640819,2020-10-28
제주특별자치도,서귀포시,관광,KT,,정보정책과,33.24590254,126.5640819,2020-10-28
제주특별자치도,서귀포시,관광,KT,,정보정책과,33.24590254,126.5640819,2020-10-28
제주특별자치도,서귀포시,편의시설,KT,,정보정책과,33.24495551,126.5657325,2020-10-28
제주특별자치도,서귀포시,관광,KT,,정보정책과,33.24465021,126.5645433,2020-10-28
제주특별자치도,서귀포시,관광,KT,,정보정책과,33.24465021,126.5645433,2020-10-28
제주특별자치도,서귀포시,편의시설,KT,,정보정책과,33.24365413,126.5629398,2020-10-28
서울특별시,서대문구,주요거리,서울시(SAW),,서울시,37.57665108,126.9313614,2020-01-01
